,country_id,country_value,indicator_name,year,value,region,incomeLevel,longitude,latitude
0,ZH,Africa Eastern and Southern,GDP growth (annual %),2023,1.9311603523693,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,GDP growth (annual %),2022,3.72271692296214,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,GDP growth (annual %),2021,4.57877206871177,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,GDP growth (annual %),2020,-2.81757208724623,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,GDP growth (annual %),2019,2.03007686221603,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,GDP growth (annual %),2018,2.70519413363353,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,GDP growth (annual %),2017,2.67752389715308,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,GDP growth (annual %),2016,2.13011703002091,Aggregates,Aggregates,,
8,ZI,Africa Western and Central,GDP growth (annual %),2023,3.66242752919044,Aggregates,Aggregates,,
9,ZI,Africa Western and Central,GDP growth (annual %),2022,4.47279468511532,Aggregates,Aggregates,,
10,ZI,Africa Western and Central,GDP growth (annual %),2021,2.54969083217036,Aggregates,Aggregates,,
11,ZI,Africa Western and Central,GDP growth (annual %),2020,-3.73062984236253,Aggregates,Aggregates,,
12,ZI,Africa Western and Central,GDP growth (annual %),2019,3.28168276850104,Aggregates,Aggregates,,
13,ZI,Africa Western and Central,GDP growth (annual %),2018,2.90466430784954,Aggregates,Aggregates,,
14,ZI,Africa Western and Central,GDP growth (annual %),2017,2.29634886599959,Aggregates,Aggregates,,
15,ZI,Africa Western and Central,GDP growth (annual %),2016,0.194316483405615,Aggregates,Aggregates,,
16,1A,Arab World,GDP growth (annual %),2023,1.63495022269882,Aggregates,Aggregates,,
17,1A,Arab World,GDP growth (annual %),2022,7.00775934349392,Aggregates,Aggregates,,
18,1A,Arab World,GDP growth (annual %),2021,4.43160883511413,Aggregates,Aggregates,,
19,1A,Arab World,GDP growth (annual %),2020,-5.30102786914752,Aggregates,Aggregates,,
20,1A,Arab World,GDP growth (annual %),2019,1.74778112240244,Aggregates,Aggregates,,
21,1A,Arab World,GDP growth (annual %),2018,2.67255324455269,Aggregates,Aggregates,,
22,1A,Arab World,GDP growth (annual %),2017,1.32901000226768,Aggregates,Aggregates,,
23,1A,Arab World,GDP growth (annual %),2016,3.57286827951262,Aggregates,Aggregates,,
24,S3,Caribbean small states,GDP growth (annual %),2023,8.83833676011841,Aggregates,Aggregates,,
25,S3,Caribbean small states,GDP growth (annual %),2022,14.8851030062619,Aggregates,Aggregates,,
26,S3,Caribbean small states,GDP growth (annual %),2021,6.53181248270917,Aggregates,Aggregates,,
27,S3,Caribbean small states,GDP growth (annual %),2020,-9.0291630332097,Aggregates,Aggregates,,
28,S3,Caribbean small states,GDP growth (annual %),2019,0.875117819991502,Aggregates,Aggregates,,
29,S3,Caribbean small states,GDP growth (annual %),2018,1.21087866602529,Aggregates,Aggregates,,
