,country_id,country_value,indicator_name,year,value,region,incomeLevel,longitude,latitude
0,ZH,Africa Eastern and Southern,Poverty headcount ratio at national poverty lines (% of population),2023,,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,Poverty headcount ratio at national poverty lines (% of population),2022,,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,Poverty headcount ratio at national poverty lines (% of population),2021,,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,Poverty headcount ratio at national poverty lines (% of population),2020,,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,Poverty headcount ratio at national poverty lines (% of population),2019,,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,Poverty headcount ratio at national poverty lines (% of population),2018,,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,Poverty headcount ratio at national poverty lines (% of population),2017,,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,Poverty headcount ratio at national poverty lines (% of population),2016,,Aggregates,Aggregates,,
8,ZI,Africa Western and Central,Poverty headcount ratio at national poverty lines (% of population),2023,,Aggregates,Aggregates,,
9,ZI,Africa Western and Central,Poverty headcount ratio at national poverty lines (% of population),2022,,Aggregates,Aggregates,,
10,ZI,Africa Western and Central,Poverty headcount ratio at national poverty lines (% of population),2021,,Aggregates,Aggregates,,
11,ZI,Africa Western and Central,Poverty headcount ratio at national poverty lines (% of population),2020,,Aggregates,Aggregates,,
12,ZI,Africa Western and Central,Poverty headcount ratio at national poverty lines (% of population),2019,,Aggregates,Aggregates,,
13,ZI,Africa Western and Central,Poverty headcount ratio at national poverty lines (% of population),2018,,Aggregates,Aggregates,,
14,ZI,Africa Western and Central,Poverty headcount ratio at national poverty lines (% of population),2017,,Aggregates,Aggregates,,
15,ZI,Africa Western and Central,Poverty headcount ratio at national poverty lines (% of population),2016,,Aggregates,Aggregates,,
16,1A,Arab World,Poverty headcount ratio at national poverty lines (% of population),2023,,Aggregates,Aggregates,,
17,1A,Arab World,Poverty headcount ratio at national poverty lines (% of population),2022,,Aggregates,Aggregates,,
18,1A,Arab World,Poverty headcount ratio at national poverty lines (% of population),2021,,Aggregates,Aggregates,,
19,1A,Arab World,Poverty headcount ratio at national poverty lines (% of population),2020,,Aggregates,Aggregates,,
20,1A,Arab World,Poverty headcount ratio at national poverty lines (% of population),2019,,Aggregates,Aggregates,,
21,1A,Arab World,Poverty headcount ratio at national poverty lines (% of population),2018,,Aggregates,Aggregates,,
22,1A,Arab World,Poverty headcount ratio at national poverty lines (% of population),2017,,Aggregates,Aggregates,,
