,country_id,country_value,indicator_name,year,value,region,incomeLevel,longitude,latitude
0,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2023,308446174490.985,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2022,333484637191.804,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2021,288027736159.846,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2020,209516974576.598,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2019,245595833663.934,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2018,258813628122.367,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2017,232936713385.777,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2016,197130248081.966,Aggregates,Aggregates,,
8,ZI,Africa Western and Central,Exports of goods and services (current US$),2023,,Aggregates,Aggregates,,
9,ZI,Africa Western and Central,Exports of goods and services (current US$),2022,,Aggregates,Aggregates,,
10,ZI,Africa Western and Central,Exports of goods and services (current US$),2021,,Aggregates,Aggregates,,
11,ZI,Africa Western and Central,Exports of goods and services (current US$),2020,,Aggregates,Aggregates,,
12,ZI,Africa Western and Central,Exports of goods and services (current US$),2019,,Aggregates,Aggregates,,
13,ZI,Africa Western and Central,Exports of goods and services (current US$),2018,,Aggregates,Aggregates,,
14,ZI,Africa Western and Central,Exports of goods and services (current US$),2017,,Aggregates,Aggregates,,
15,ZI,Africa Western and Central,Exports of goods and services (current US$),2016,,Aggregates,Aggregates,,
16,1A,Arab World,Exports of goods and services (current US$),2023,1695255372658.71,Aggregates,Aggregates,,
17,1A,Arab World,Exports of goods and services (current US$),2022,1792850543608.38,Aggregates,Aggregates,,
18,1A,Arab World,Exports of goods and services (current US$),2021,1280418222799.26,Aggregates,Aggregates,,
19,1A,Arab World,Exports of goods and services (current US$),2020,931628564702.073,Aggregates,Aggregates,,
20,1A,Arab World,Exports of goods and services (current US$),2019,1250081044909.76,Aggregates,Aggregates,,
21,1A,Arab World,Exports of goods and services (current US$),2018,1297103254480.05,Aggregates,Aggregates,,
22,1A,Arab World,Exports of goods and services (current US$),2017,1091141483975.71,Aggregates,Aggregates,,
23,1A,Arab World,Exports of goods and services (current US$),2016,953670218808.409,Aggregates,Aggregates,,
24,S3,Caribbean small states,Exports of goods and services (current US$),2023,,Aggregates,Aggregates,,
25,S3,Caribbean small states,Exports of goods and services (current US$),2022,,Aggregates,Aggregates,,
26,S3,Caribbean small states,Exports of goods and services (current US$),2021,,Aggregates,Aggregates,,
27,S3,Caribbean small states,Exports of goods and services (current US$),2020,,Aggregates,Aggregates,,
28,S3,Caribbean small states,Exports of goods and services (current US$),2019,,Aggregates,Aggregates,,
29,S3,Caribbean small states,Exports of goods and services (current US$),2018,,Aggregates,Aggregates,,
30,S3,Caribbean small states,Exports of goods and services (current US$),2017,,Aggregates,Aggregates,,
31,S3,Caribbean small states,Exports of goods and services (current US$),2016,,Aggregates,Aggregates,,
32,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2023,1425871028490.58,Aggregates,Aggregates,,
33,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2022,1341116044762.76,Aggregates,Aggregates,,
34,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2021,1215863520904.17,Aggregates,Aggregates,,
35,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2020,984787146963.038,Aggregates,Aggregates,,
36,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2019,1040652380558.75,Aggregates,Aggregates,,
37,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2018,1042006159053.72,Aggregates,Aggregates,,
38,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2017,929209660507.615,Aggregates,Aggregates,,
39,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2016,822183254496.804,Aggregates,Aggregates,,
40,V2,Early-demographic dividend,Exports of goods and services (current US$),2023,3863383843212.38,Aggregates,Aggregates,,
41,V2,Early-demographic dividend,Exports of goods and services (current US$),2022,3986345966802.91,Aggregates,Aggregates,,
42,V2,Early-demographic dividend,Exports of goods and services (current US$),2021,3254070704862.9,Aggregates,Aggregates,,
43,V2,Early-demographic dividend,Exports of goods and services (current US$),2020,2425865761878.0,Aggregates,Aggregates,,
44,V2,Early-demographic dividend,Exports of goods and services (current US$),2019,2916787616108.96,Aggregates,Aggregates,,
45,V2,Early-demographic dividend,Exports of goods and services (current US$),2018,2989960297412.38,Aggregates,Aggregates,,
46,V2,Early-demographic dividend,Exports of goods and services (current US$),2017,2690660794123.95,Aggregates,Aggregates,,
47,V2,Early-demographic dividend,Exports of goods and services (current US$),2016,2382700063974.47,Aggregates,Aggregates,,
48,Z4,East Asia & Pacific,Exports of goods and services (current US$),2023,9309336051781.3,Aggregates,Aggregates,,
49,Z4,East Asia & Pacific,Exports of goods and services (current US$),2022,9698595556200.46,Aggregates,Aggregates,,
50,Z4,East Asia & Pacific,Exports of goods and services (current US$),2021,9051084565466.21,Aggregates,Aggregates,,
51,Z4,East Asia & Pacific,Exports of goods and services (current US$),2020,7229635520462.29,Aggregates,Aggregates,,
52,Z4,East Asia & Pacific,Exports of goods and services (current US$),2019,7542519927499.17,Aggregates,Aggregates,,
53,Z4,East Asia & Pacific,Exports of goods and services (current US$),2018,7706572168649.11,Aggregates,Aggregates,,
54,Z4,East Asia & Pacific,Exports of goods and services (current US$),2017,7095510535773.31,Aggregates,Aggregates,,
55,Z4,East Asia & Pacific,Exports of goods and services (current US$),2016,6412887123971.02,Aggregates,Aggregates,,
56,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2023,4986138164897.3,Aggregates,Aggregates,,
57,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2022,5273235667330.35,Aggregates,Aggregates,,
58,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2021,4900344679788.04,Aggregates,Aggregates,,
59,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2020,3830189793755.46,Aggregates,Aggregates,,
60,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2019,3859165048260.15,Aggregates,Aggregates,,
61,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2018,3881217853154.79,Aggregates,Aggregates,,
62,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2017,3543229128563.56,Aggregates,Aggregates,,
63,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2016,3184875058854.76,Aggregates,Aggregates,,
64,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2023,4979601974468.68,Aggregates,Aggregates,,
65,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2022,5266296571900.22,Aggregates,Aggregates,,
66,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2021,4893853806581.97,Aggregates,Aggregates,,
67,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2020,3825177284961.31,Aggregates,Aggregates,,
68,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2019,3854183225485.83,Aggregates,Aggregates,,
69,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2018,3876217916265.48,Aggregates,Aggregates,,
70,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2017,3538684711806.51,Aggregates,Aggregates,,
71,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2016,3180829502059.83,Aggregates,Aggregates,,
72,XC,Euro area,Exports of goods and services (current US$),2023,7978037743949.34,Aggregates,Aggregates,,
73,XC,Euro area,Exports of goods and services (current US$),2022,7815450273992.55,Aggregates,Aggregates,,
74,XC,Euro area,Exports of goods and services (current US$),2021,7245619478850.78,Aggregates,Aggregates,,
75,XC,Euro area,Exports of goods and services (current US$),2020,5926775269616.62,Aggregates,Aggregates,,
76,XC,Euro area,Exports of goods and services (current US$),2019,6443247547680.73,Aggregates,Aggregates,,
77,XC,Euro area,Exports of goods and services (current US$),2018,6534860650692.68,Aggregates,Aggregates,,
78,XC,Euro area,Exports of goods and services (current US$),2017,5948409013130.16,Aggregates,Aggregates,,
79,XC,Euro area,Exports of goods and services (current US$),2016,5418277022825.19,Aggregates,Aggregates,,
80,Z7,Europe & Central Asia,Exports of goods and services (current US$),2023,12859649011799.2,Aggregates,Aggregates,,
81,Z7,Europe & Central Asia,Exports of goods and services (current US$),2022,12843930534714.4,Aggregates,Aggregates,,
82,Z7,Europe & Central Asia,Exports of goods and services (current US$),2021,11610809293390.2,Aggregates,Aggregates,,
83,Z7,Europe & Central Asia,Exports of goods and services (current US$),2020,9358949545211.11,Aggregates,Aggregates,,
84,Z7,Europe & Central Asia,Exports of goods and services (current US$),2019,10274649431650.7,Aggregates,Aggregates,,
85,Z7,Europe & Central Asia,Exports of goods and services (current US$),2018,10410851721147.1,Aggregates,Aggregates,,
86,Z7,Europe & Central Asia,Exports of goods and services (current US$),2017,9404907313966.76,Aggregates,Aggregates,,
87,Z7,Europe & Central Asia,Exports of goods and services (current US$),2016,8554872091264.83,Aggregates,Aggregates,,
88,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2023,752601713213.174,Aggregates,Aggregates,,
89,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2022,742638652620.425,Aggregates,Aggregates,,
90,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2021,629555294382.983,Aggregates,Aggregates,,
91,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2020,461519815826.7,Aggregates,Aggregates,,
92,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2019,554004317002.752,Aggregates,Aggregates,,
93,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2018,543346898022.236,Aggregates,Aggregates,,
94,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2017,477686752813.7,Aggregates,Aggregates,,
95,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2016,415277683200.895,Aggregates,Aggregates,,
96,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2023,1933652060640.75,Aggregates,Aggregates,,
97,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2022,2045818126647.07,Aggregates,Aggregates,,
98,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2021,1773991864063.62,Aggregates,Aggregates,,
99,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2020,1316682291782.93,Aggregates,Aggregates,,
100,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2019,1528461384558.82,Aggregates,Aggregates,,
101,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2018,1539162854497.37,Aggregates,Aggregates,,
102,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2017,1317613766903.86,Aggregates,Aggregates,,
103,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2016,1119150391061.58,Aggregates,Aggregates,,
104,EU,European Union,Exports of goods and services (current US$),2023,9657456788388.33,Aggregates,Aggregates,,
105,EU,European Union,Exports of goods and services (current US$),2022,9413905146401.02,Aggregates,Aggregates,,
106,EU,European Union,Exports of goods and services (current US$),2021,8698132212489.88,Aggregates,Aggregates,,
107,EU,European Union,Exports of goods and services (current US$),2020,7107614522357.86,Aggregates,Aggregates,,
108,EU,European Union,Exports of goods and services (current US$),2019,7684155677487.96,Aggregates,Aggregates,,
109,EU,European Union,Exports of goods and services (current US$),2018,7769970730709.28,Aggregates,Aggregates,,
110,EU,European Union,Exports of goods and services (current US$),2017,7063724441817.75,Aggregates,Aggregates,,
111,EU,European Union,Exports of goods and services (current US$),2016,6421420485288.86,Aggregates,Aggregates,,
112,F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2023,446556822628.333,Aggregates,Aggregates,,
113,F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2022,493607079541.02,Aggregates,Aggregates,,
114,F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2021,412339679197.262,Aggregates,Aggregates,,
115,F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2020,278002489876.1,Aggregates,Aggregates,,
116,F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2019,420008226857.817,Aggregates,Aggregates,,
117,F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2018,441129792524.321,Aggregates,Aggregates,,
118,F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2017,357931875145.801,Aggregates,Aggregates,,
119,F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2016,284731219659.424,Aggregates,Aggregates,,
120,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2023,242074466496.88,Aggregates,Aggregates,,
121,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2022,242781496166.828,Aggregates,Aggregates,,
122,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2021,210829245213.071,Aggregates,Aggregates,,
123,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2020,166654395808.388,Aggregates,Aggregates,,
124,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2019,184765814725.783,Aggregates,Aggregates,,
125,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2018,183262365881.571,Aggregates,Aggregates,,
126,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2017,163158216343.986,Aggregates,Aggregates,,
127,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2016,144853910656.629,Aggregates,Aggregates,,
128,XD,High income,Exports of goods and services (current US$),2023,21985890682395.5,Aggregates,Aggregates,,
129,XD,High income,Exports of goods and services (current US$),2022,22133308807361.5,Aggregates,Aggregates,,
130,XD,High income,Exports of goods and services (current US$),2021,19726640013050.7,Aggregates,Aggregates,,
131,XD,High income,Exports of goods and services (current US$),2020,16007137450502.0,Aggregates,Aggregates,,
132,XD,High income,Exports of goods and services (current US$),2019,17817059399867.1,Aggregates,Aggregates,,
133,XD,High income,Exports of goods and services (current US$),2018,18139539667235.4,Aggregates,Aggregates,,
134,XD,High income,Exports of goods and services (current US$),2017,16584280819890.4,Aggregates,Aggregates,,
135,XD,High income,Exports of goods and services (current US$),2016,15164369755511.7,Aggregates,Aggregates,,
136,XF,IBRD only,Exports of goods and services (current US$),2023,9912032916765.25,Aggregates,Aggregates,,
137,XF,IBRD only,Exports of goods and services (current US$),2022,10349223785133.6,Aggregates,Aggregates,,
138,XF,IBRD only,Exports of goods and services (current US$),2021,9185176554354.0,Aggregates,Aggregates,,
139,XF,IBRD only,Exports of goods and services (current US$),2020,7020143071856.36,Aggregates,Aggregates,,
140,XF,IBRD only,Exports of goods and services (current US$),2019,7626607344738.34,Aggregates,Aggregates,,
141,XF,IBRD only,Exports of goods and services (current US$),2018,7752119239394.52,Aggregates,Aggregates,,
142,XF,IBRD only,Exports of goods and services (current US$),2017,6961139594599.42,Aggregates,Aggregates,,
143,XF,IBRD only,Exports of goods and services (current US$),2016,6161115498480.55,Aggregates,Aggregates,,
144,ZT,IDA & IBRD total,Exports of goods and services (current US$),2023,10509074338322.0,Aggregates,Aggregates,,
145,ZT,IDA & IBRD total,Exports of goods and services (current US$),2022,10956081666117.7,Aggregates,Aggregates,,
146,ZT,IDA & IBRD total,Exports of goods and services (current US$),2021,9705868713321.06,Aggregates,Aggregates,,
147,ZT,IDA & IBRD total,Exports of goods and services (current US$),2020,7437476020036.56,Aggregates,Aggregates,,
148,ZT,IDA & IBRD total,Exports of goods and services (current US$),2019,8094711181725.34,Aggregates,Aggregates,,
149,ZT,IDA & IBRD total,Exports of goods and services (current US$),2018,8210824637807.29,Aggregates,Aggregates,,
150,ZT,IDA & IBRD total,Exports of goods and services (current US$),2017,7380744988793.59,Aggregates,Aggregates,,
151,ZT,IDA & IBRD total,Exports of goods and services (current US$),2016,6531422579887.18,Aggregates,Aggregates,,
152,XH,IDA blend,Exports of goods and services (current US$),2023,,Aggregates,Aggregates,,
153,XH,IDA blend,Exports of goods and services (current US$),2022,,Aggregates,Aggregates,,
154,XH,IDA blend,Exports of goods and services (current US$),2021,,Aggregates,Aggregates,,
155,XH,IDA blend,Exports of goods and services (current US$),2020,,Aggregates,Aggregates,,
156,XH,IDA blend,Exports of goods and services (current US$),2019,,Aggregates,Aggregates,,
157,XH,IDA blend,Exports of goods and services (current US$),2018,,Aggregates,Aggregates,,
158,XH,IDA blend,Exports of goods and services (current US$),2017,,Aggregates,Aggregates,,
159,XH,IDA blend,Exports of goods and services (current US$),2016,,Aggregates,Aggregates,,
160,XI,IDA only,Exports of goods and services (current US$),2023,370582790049.219,Aggregates,Aggregates,,
161,XI,IDA only,Exports of goods and services (current US$),2022,368405891542.671,Aggregates,Aggregates,,
162,XI,IDA only,Exports of goods and services (current US$),2021,315702897977.31,Aggregates,Aggregates,,
163,XI,IDA only,Exports of goods and services (current US$),2020,256662188144.33,Aggregates,Aggregates,,
164,XI,IDA only,Exports of goods and services (current US$),2019,289725949736.899,Aggregates,Aggregates,,
165,XI,IDA only,Exports of goods and services (current US$),2018,278595742481.069,Aggregates,Aggregates,,
166,XI,IDA only,Exports of goods and services (current US$),2017,253975579434.407,Aggregates,Aggregates,,
167,XI,IDA only,Exports of goods and services (current US$),2016,228137416640.164,Aggregates,Aggregates,,
168,XG,IDA total,Exports of goods and services (current US$),2023,628533892214.108,Aggregates,Aggregates,,
169,XG,IDA total,Exports of goods and services (current US$),2022,633443520498.868,Aggregates,Aggregates,,
170,XG,IDA total,Exports of goods and services (current US$),2021,537660744865.583,Aggregates,Aggregates,,
171,XG,IDA total,Exports of goods and services (current US$),2020,437223434350.949,Aggregates,Aggregates,,
172,XG,IDA total,Exports of goods and services (current US$),2019,495097204366.909,Aggregates,Aggregates,,
173,XG,IDA total,Exports of goods and services (current US$),2018,479886164174.516,Aggregates,Aggregates,,
174,XG,IDA total,Exports of goods and services (current US$),2017,441443359341.512,Aggregates,Aggregates,,
175,XG,IDA total,Exports of goods and services (current US$),2016,389237235378.336,Aggregates,Aggregates,,
176,V3,Late-demographic dividend,Exports of goods and services (current US$),2023,8547536489007.84,Aggregates,Aggregates,,
177,V3,Late-demographic dividend,Exports of goods and services (current US$),2022,8893665927407.78,Aggregates,Aggregates,,
178,V3,Late-demographic dividend,Exports of goods and services (current US$),2021,7992409897802.51,Aggregates,Aggregates,,
179,V3,Late-demographic dividend,Exports of goods and services (current US$),2020,6257391192361.0,Aggregates,Aggregates,,
180,V3,Late-demographic dividend,Exports of goods and services (current US$),2019,6504222891390.62,Aggregates,Aggregates,,
181,V3,Late-demographic dividend,Exports of goods and services (current US$),2018,6546306368441.98,Aggregates,Aggregates,,
182,V3,Late-demographic dividend,Exports of goods and services (current US$),2017,5889448009301.06,Aggregates,Aggregates,,
183,V3,Late-demographic dividend,Exports of goods and services (current US$),2016,5247671479052.96,Aggregates,Aggregates,,
184,ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2023,1742663641102.53,Aggregates,Aggregates,,
